game_id,game_date,team_id,team_name,goals_for,goals_against,shots_for,shots_against,faceoff_win_pct,power_play_pct,penalty_kill_pct,wins,losses,points,point_pct,team_shutouts,hits,blocked_shots,giveaways,takeaways,pims,powerPlayGoals
2025020039,,21,Colorado Avalanche,3,1,37.0,28.0,0.564516,0.0,1.0,1,0,2,1.0,0,20,21,16,5,6,0
2025020040,,6,Boston Bruins,3,4,33.0,23.0,0.683333,0.0,1.0,0,1,0,0.0,0,31,12,16,6,8,0
2025020040,,14,Tampa Bay Lightning,4,3,23.0,33.0,0.316666,0.0,1.0,1,0,2,1.0,0,21,14,20,9,14,0
2025020041,,9,Ottawa Senators,1,4,32.0,26.0,0.714285,0.2,1.0,0,1,0,0.0,0,29,15,17,3,10,1
2025020041,,18,Nashville Predators,4,1,26.0,32.0,0.285714,0.0,0.8,1,0,2,1.0,0,20,14,12,3,10,0
2025020042,,2,New York Islanders,2,5,35.0,26.0,0.431372,0.0,0.666667,0,1,0,0.0,0,14,13,12,3,6,0
2025020042,,52,Winnipeg Jets,5,2,26.0,35.0,0.568627,0.333333,1.0,1,0,2,1.0,0,16,24,13,4,8,1
2025020043,,10,Toronto Maple Leafs,2,3,40.0,15.0,0.606557,0.0,0.75,0,1,0,0.0,0,22,10,22,7,8,0
2025020043,,17,Detroit Red Wings,3,2,15.0,40.0,0.393442,0.25,1.0,1,0,2,1.0,0,18,20,16,11,6,1
2025020044,,4,Philadelphia Flyers,5,2,22.0,26.0,0.490196,0.0,0.8,1,0,2,1.0,0,8,14,13,4,10,0
2025020044,,13,Florida Panthers,2,5,26.0,22.0,0.509803,0.2,1.0,0,1,0,0.0,0,24,15,17,2,10,1
2025020045,,1,New Jersey Devils,3,2,28.0,33.0,0.41791,1.0,1.0,1,0,2,1.0,0,15,18,18,5,10,2
2025020045,,29,Columbus Blue Jackets,2,3,33.0,28.0,0.582089,0.0,0.0,0,1,0,0.0,0,18,12,20,3,4,0
2025020046,,19,St. Louis Blues,5,2,36.0,29.0,0.47826,0.333333,1.0,1,0,2,1.0,0,22,17,16,8,2,1
2025020046,,23,Vancouver Canucks,2,5,29.0,36.0,0.521739,0.0,0.666667,0,1,0,0.0,0,29,17,23,6,6,0
2025020047,,26,Los Angeles Kings,3,3,34.0,26.0,0.485714,0.333333,0.5,0,0,1,0.5,0,24,10,22,6,12,1
2025020047,,30,Minnesota Wild,3,3,26.0,34.0,0.514285,0.5,0.666667,1,0,2,1.0,0,23,11,20,9,6,3
2025020048,,16,Chicago Blackhawks,3,1,14.0,22.0,0.45283,0.333333,1.0,1,0,2,1.0,0,31,14,16,2,6,1
2025020048,,68,Utah Mammoth,1,3,22.0,14.0,0.547169,0.0,0.666667,0,1,0,0.0,0,16,3,17,1,6,0
2025020049,,10,Toronto Maple Leafs,7,4,28.0,30.0,0.508474,0.0,1.0,1,0,2,1.0,0,21,20,17,4,6,0
2025020049,,18,Nashville Predators,4,7,30.0,28.0,0.491525,0.0,1.0,0,1,0,0.0,0,18,11,17,4,6,0
2025020050,,8,Montréal Canadiens,5,4,22.0,22.0,0.5625,0.0,0.75,1,0,2,1.0,0,25,23,13,3,8,0
2025020050,,55,Seattle Kraken,4,5,22.0,22.0,0.4375,0.25,1.0,0,0,1,0.5,0,32,17,13,5,6,1
2025020051,,3,New York Rangers,0,2,30.0,22.0,0.465116,0.0,,0,1,0,0.0,0,18,11,13,2,0,0
2025020051,,22,Edmonton Oilers,2,0,22.0,30.0,0.534883,,1.0,1,0,2,1.0,1,12,23,18,6,6,0
2025020052,,14,Tampa Bay Lightning,2,3,19.0,28.0,0.464285,0.5,0.666667,0,0,1,0.5,0,8,17,19,2,10,1
2025020052,,15,Washington Capitals,3,2,28.0,19.0,0.535714,0.333333,0.5,1,0,2,1.0,0,23,8,14,4,8,1
2025020053,,20,Calgary Flames,2,4,29.0,30.0,0.430769,0.0,1.0,0,1,0,0.0,0,23,18,11,6,6,0
2025020053,,54,Vegas Golden Knights,4,2,30.0,29.0,0.56923,0.0,1.0,1,0,2,1.0,0,26,11,13,6,4,0
2025020054,,25,Dallas Stars,5,2,25.0,41.0,0.539682,1.0,0.5,1,0,2,1.0,0,15,17,15,5,25,2
2025020054,,30,Minnesota Wild,2,5,41.0,25.0,0.460317,0.5,0.0,0,1,0,0.0,0,26,16,11,4,11,2
2025020055,,12,Carolina Hurricanes,5,1,43.0,17.0,0.555555,0.0,1.0,1,0,2,1.0,0,13,8,21,5,12,0
2025020055,,28,San Jose Sharks,1,5,17.0,43.0,0.444444,0.0,1.0,0,1,0,0.0,0,21,18,15,4,8,0
2025020056,,5,Pittsburgh Penguins,3,4,25.0,22.0,0.481481,0.0,0.666667,0,1,0,0.0,0,16,26,12,3,12,0
2025020056,,24,Anaheim Ducks,4,3,22.0,25.0,0.518518,0.333333,1.0,1,0,2,1.0,0,25,16,14,1,0,2
2025020057,,7,Buffalo Sabres,8,4,27.0,37.0,0.350877,1.0,0.8,1,0,2,1.0,0,28,20,14,6,12,3
2025020057,,9,Ottawa Senators,4,8,37.0,27.0,0.649122,0.2,0.0,0,1,0,0.0,0,21,10,13,5,10,1
2025020058,,13,Florida Panthers,1,4,21.0,25.0,0.442622,0.0,0.666667,0,1,0,0.0,0,32,9,15,2,6,0
2025020058,,17,Detroit Red Wings,4,1,25.0,21.0,0.557377,0.333333,1.0,1,0,2,1.0,0,15,21,23,3,4,1
2025020059,,16,Chicago Blackhawks,8,3,29.0,26.0,0.555555,0.333333,1.0,1,0,2,1.0,0,9,9,23,11,4,1
2025020059,,19,St. Louis Blues,3,8,26.0,29.0,0.444444,0.0,0.666667,0,1,0,0.0,0,28,10,13,1,6,0
2025020060,,20,Calgary Flames,1,3,20.0,32.0,0.566037,0.25,1.0,0,1,0,0.0,0,21,14,11,5,21,1
2025020060,,68,Utah Mammoth,3,1,32.0,20.0,0.433962,0.0,0.75,1,0,2,1.0,0,25,17,10,2,17,0
2025020061,,3,New York Rangers,1,2,29.0,24.0,0.527272,0.0,0.5,0,0,1,0.5,0,22,10,13,6,4,0
2025020061,,10,Toronto Maple Leafs,2,1,24.0,29.0,0.472727,0.5,1.0,1,0,2,1.0,0,18,13,21,2,6,1
2025020062,,8,Montréal Canadiens,3,2,30.0,19.0,0.446808,0.0,0.5,1,0,2,1.0,0,13,17,12,5,4,0
2025020062,,18,Nashville Predators,2,3,19.0,30.0,0.553191,0.5,1.0,0,0,1,0.5,0,16,12,15,4,6,1
2025020063,,9,Ottawa Senators,3,3,23.0,33.0,0.542372,0.5,0.666667,1,0,2,1.0,0,19,18,16,4,6,1
2025020063,,55,Seattle Kraken,3,3,33.0,23.0,0.457627,0.333333,0.5,0,0,1,0.5,0,27,21,17,7,4,1
2025020064,,1,New Jersey Devils,3,1,33.0,22.0,0.44,0.2,1.0,1,0,2,1.0,0,22,20,10,4,12,1
2025020064,,13,Florida Panthers,1,3,22.0,33.0,0.56,0.0,0.8,0,1,0,0.0,0,27,18,13,3,8,0
