game_id,team_id,hits,blocked_shots,giveaways,takeaways,pims,powerPlayGoals
2025020658,29,22,19,19,7,6,0
2025020659,13,25,9,15,7,8,0
2025020659,21,15,8,19,4,6,0
2025020660,1,22,9,12,3,6,0
2025020660,12,16,18,18,6,10,0
2025020661,16,15,8,16,7,2,0
2025020661,54,34,19,14,2,4,0
2025020662,3,38,14,16,5,4,2
2025020662,68,18,9,14,7,10,0
2025020663,15,20,22,11,3,16,0
2025020663,24,13,7,12,6,14,0
2025020664,9,20,12,18,5,8,1
2025020664,17,13,11,12,4,12,1
2025020665,20,35,12,20,6,2,0
2025020665,55,20,14,16,2,2,0
2025020666,26,10,16,20,5,14,0
2025020666,30,22,19,14,7,4,1
2025020667,7,16,14,15,5,8,0
2025020667,23,17,8,16,4,2,1
2025020668,14,21,16,12,5,18,1
2025020668,21,20,19,19,4,6,0
2025020669,1,18,5,20,5,0,0
2025020669,2,16,17,11,3,6,0
2025020670,4,22,23,18,7,26,1
2025020670,24,19,15,15,2,37,2
2025020671,12,28,12,19,6,6,2
2025020671,25,29,10,13,5,10,2
2025020672,10,21,18,14,2,11,0
2025020672,13,31,10,12,8,9,0
2025020673,52,25,18,13,3,13,0
2025020673,54,27,10,13,5,9,2
2025020674,18,17,13,17,6,4,0
2025020674,22,15,16,16,7,4,1
2025020675,28,20,15,11,7,11,1
2025020675,29,12,16,12,3,15,0
2025020676,6,24,13,13,3,8,1
2025020676,55,12,17,20,9,6,3
2025020677,15,22,16,24,6,11,0
2025020677,25,16,11,13,3,11,0
2025020678,8,24,19,11,4,8,0
2025020678,20,15,13,13,5,2,0
2025020679,16,19,16,16,7,20,3
2025020679,19,25,7,13,4,8,0
2025020680,9,26,13,16,2,6,0
2025020680,68,20,20,20,5,6,0
2025020681,26,12,14,17,3,8,0
2025020681,28,21,17,17,8,6,2
2025020682,6,23,17,19,3,6,0
2025020682,20,27,19,15,8,6,0
2025020683,8,18,20,9,7,22,0
2025020683,13,18,11,18,4,24,0
2025020684,17,13,27,17,5,4,1
2025020684,23,24,14,17,3,6,1
2025020685,3,32,12,13,5,4,0
2025020685,7,16,20,17,9,6,1
2025020686,4,25,11,8,5,4,0
2025020686,10,20,13,16,6,6,0
2025020687,1,25,19,18,6,6,1
2025020687,5,10,16,22,5,4,1
2025020688,12,16,8,21,6,6,0
2025020688,24,25,20,17,4,14,0
2025020689,2,20,23,22,4,8,0
2025020689,18,19,16,15,8,10,0
2025020690,22,9,8,16,2,9,1
2025020690,52,24,9,15,5,9,0
2025020691,9,38,14,7,5,42,0
2025020691,21,12,21,9,4,16,2
2025020692,29,28,12,18,4,4,0
2025020692,54,19,20,15,8,2,1
2025020693,30,16,9,14,6,6,0
2025020693,55,13,19,12,5,2,1
2025020694,15,13,9,16,5,8,0
2025020694,16,23,6,19,5,6,1
2025020695,26,22,12,8,7,4,0
2025020695,52,23,22,16,2,4,1
2025020696,19,28,19,14,2,20,0
2025020696,68,14,15,10,6,22,1
2025020697,3,27,9,20,5,18,1
2025020697,6,29,14,11,4,26,1
2025020698,5,15,17,15,1,10,0
2025020698,20,17,18,14,3,8,0
2025020699,21,6,17,10,3,4,0
2025020699,29,18,22,14,2,4,0
2025020700,25,12,14,15,5,12,0
2025020700,28,21,11,18,4,4,4
2025020701,7,10,22,19,4,13,0
2025020701,24,29,7,19,4,13,0
2025020702,10,15,20,16,4,15,2
2025020702,23,19,10,17,7,15,0
2025020703,8,27,17,12,9,8,0
2025020703,17,14,16,7,1,2,1
2025020704,9,20,14,13,5,10,0
2025020704,13,24,6,12,6,12,2
2025020705,4,32,14,14,5,9,1
2025020705,14,18,6,14,5,9,0
2025020706,12,16,13,13,7,2,0
2025020706,55,25,12,18,7,2,0
2025020707,16,18,8,14,2,8,1
2025020707,18,20,8,12,7,8,0
2025020708,2,15,9,7,2,8,0
2025020708,30,18,14,16,5,6,1
2025020709,22,20,20,15,6,4,1
2025020709,26,20,12,19,4,8,1
2025020710,19,30,17,12,3,7,1
2025020710,54,21,9,18,7,7,0
2025020711,1,17,11,15,4,4,0
2025020711,52,15,13,21,5,2,0
2025020712,5,18,17,16,3,12,0
2025020712,6,15,18,16,6,4,0
2025020713,15,21,5,13,5,12,2
2025020713,18,16,11,16,2,10,2
2025020714,29,18,23,16,2,4,2
2025020714,68,15,21,11,5,6,0
2025020715,28,21,15,11,5,8,0
2025020715,54,19,11,23,4,10,2
2025020716,7,22,19,21,4,7,0
2025020716,13,18,14,11,6,9,1
2025020717,12,23,11,12,5,28,2
2025020717,17,19,25,20,6,10,1
2025020718,3,31,3,14,6,4,0
2025020718,55,20,19,17,8,4,0
2025020719,4,32,17,19,1,46,0
2025020719,14,10,11,9,6,32,2
2025020720,8,26,26,18,4,4,1
2025020720,23,12,9,18,4,2,0
2025020721,1,18,19,12,3,4,0
2025020721,30,16,14,14,4,4,1
2025020722,16,20,9,16,6,2,0
2025020722,22,13,16,15,2,4,0
2025020723,10,13,22,15,8,8,0
2025020723,21,14,12,21,3,6,1
2025020724,25,17,13,15,7,6,0
2025020724,26,24,12,9,3,2,1
2025020725,9,25,16,11,5,2,0
2025020725,23,21,18,14,5,4,0
2025020726,5,13,15,15,9,14,0
2025020726,14,15,8,18,4,33,0
2025020727,8,21,20,10,2,25,0
2025020727,15,18,15,16,5,23,0
2025020728,20,12,9,16,5,13,3
2025020728,29,21,14,14,3,9,1
2025020729,6,18,10,18,3,4,0
2025020729,17,14,16,17,5,4,0
2025020730,12,14,8,14,8,6,0
2025020730,19,26,19,19,5,6,1
2025020731,18,22,11,20,7,13,0
2025020731,22,18,19,18,4,11,2
2025020732,2,13,12,20,6,4,0
2025020732,52,18,9,16,5,2,1
2025020733,10,21,21,16,5,6,0
2025020733,68,21,15,14,5,8,0
2025020734,24,29,17,16,8,4,0
2025020734,25,24,21,20,1,4,0
2025020735,1,14,12,14,9,4,1
2025020735,55,20,17,17,3,4,1
2025020736,4,26,9,5,2,12,1
2025020736,7,27,9,17,5,10,2
2025020737,3,38,20,24,6,6,1
2025020737,9,13,16,11,3,2,1
2025020738,26,24,13,20,5,4,0
2025020738,54,20,20,15,3,2,1
2025020739,6,25,16,16,9,13,1
2025020739,55,22,14,13,5,9,2
2025020740,7,21,6,14,6,10,2
2025020740,8,26,18,13,4,12,2
2025020741,4,22,11,11,3,13,0
2025020741,5,20,14,14,7,13,3
2025020742,15,18,14,12,3,6,1
2025020742,28,16,10,20,4,4,0
2025020743,23,11,18,17,6,4,1
2025020743,29,19,15,9,6,4,2
2025020744,30,11,7,13,5,8,0
2025020744,52,19,12,7,2,6,2
2025020745,16,11,19,17,7,17,0
2025020745,20,29,12,18,4,19,1
