game_id,game_date,team_id,team_name,goals_for_avg5,goals_against_avg5,shots_for_avg5,shots_against_avg5,faceoff_win_pct_avg5,power_play_pct_avg5,penalty_kill_pct_avg5,hits_avg5,blocked_shots_avg5,giveaways_avg5,takeaways_avg5,pims_avg5,goals_for_avg10,goals_against_avg10,shots_for_avg10,shots_against_avg10,faceoff_win_pct_avg10,power_play_pct_avg10,penalty_kill_pct_avg10,hits_avg10,blocked_shots_avg10,giveaways_avg10,takeaways_avg10,pims_avg10
2025020777,,1,New Jersey Devils,2.6,3.2,28.2,25.2,0.5492117999999999,0.25,0.7333334,19.2,15.2,15.4,4.8,4.0,2.1,3.5,31.0,27.5,0.5193015,0.2583333,0.8148148888888889,19.5,12.5,15.3,4.7,5.2
2025020786,,1,New Jersey Devils,2.8,2.6,28.8,23.8,0.5662362,0.15,0.8,17.4,13.6,14.8,4.4,4.4,2.3,3.2,30.9,26.7,0.5395152,0.2583333,0.851851888888889,19.3,12.5,15.3,4.6,4.9
2025020807,,1,New Jersey Devils,2.6,2.0,26.8,24.0,0.539583,0.15,0.8,16.8,13.8,13.8,4.4,5.8,2.2,3.1,29.3,25.5,0.5281116,0.1583333,0.851851888888889,19.0,12.7,14.9,4.5,4.9
2025020820,,1,New Jersey Devils,2.6,2.4,25.8,24.4,0.5284954,0.2833332,0.9,16.6,13.0,13.6,4.2,5.8,2.3,3.4,28.7,24.9,0.5283431000000001,0.19166659999999996,0.851851888888889,18.3,12.8,14.5,4.2,4.9
2025020835,,1,New Jersey Devils,2.4,2.8,26.4,24.8,0.5221126,0.2833332,1.0,16.4,13.8,14.0,3.0,9.6,2.4,3.5,28.7,23.9,0.5342754,0.24166659999999998,0.851851888888889,17.4,13.5,14.9,4.2,6.6
2025020848,,1,New Jersey Devils,2.8,2.8,26.2,23.0,0.5060814,0.3333332,1.0,14.8,13.0,12.6,3.6,10.0,2.7,3.0,27.2,24.1,0.5276466,0.2916666,0.8666667,17.0,14.1,14.0,4.2,7.0
2025020866,,1,New Jersey Devils,3.0,3.0,26.8,24.4,0.47719259999999997,0.3333332,1.0,17.0,14.6,12.8,4.0,9.2,2.9,2.8,27.8,24.1,0.5217144,0.24166659999999998,0.9,17.2,14.1,13.8,4.2,6.8
2025020887,,1,New Jersey Devils,2.8,3.6,28.8,26.6,0.5134326,0.3333332,0.8666668,18.6,14.0,14.2,4.2,8.6,2.7,2.8,27.8,25.3,0.5265078,0.24166659999999998,0.8333334000000001,17.7,13.9,14.0,4.3,7.2
2025020905,,1,New Jersey Devils,1.8,3.4,28.8,26.6,0.5015736,0.2,0.8666668,18.8,13.2,14.6,4.6,9.0,2.2,2.9,27.3,25.5,0.5150345,0.24166659999999998,0.8833334,17.7,13.1,14.1,4.4,7.4
2025020910,,1,New Jersey Devils,1.6,3.2,27.8,25.6,0.46687959999999995,0.1,0.8666668,18.8,12.8,15.8,5.0,4.8,2.0,3.0,27.1,25.2,0.4944961,0.19166659999999996,0.9333334000000001,17.6,13.3,14.9,4.0,7.2
2025020922,,1,New Jersey Devils,1.2,2.8,27.6,26.4,0.47845380000000004,0.0,0.8666668,20.8,13.2,17.0,4.8,6.2,2.0,2.8,26.9,24.7,0.4922676,0.16666659999999997,0.9333334000000001,17.8,13.1,14.8,4.2,8.1
2025020943,,1,New Jersey Devils,0.8,3.2,26.6,28.0,0.49845380000000006,0.0,0.8000002,20.6,11.6,17.4,4.2,6.6,1.9,3.1,26.7,26.2,0.48782320000000007,0.16666659999999997,0.9000001,18.8,13.1,15.1,4.1,7.9
2025020961,,1,New Jersey Devils,1.2,2.6,27.8,26.4,0.48683899999999997,0.1,0.9333334000000001,18.6,12.2,17.6,4.8,6.2,2.0,3.1,28.3,26.5,0.5001358,0.2166666,0.9000001000000001,18.6,13.1,15.9,4.5,7.4
2025020971,,1,New Jersey Devils,2.2,2.2,29.6,25.6,0.5266742000000001,0.1,0.9333334000000001,18.4,12.0,17.6,5.2,7.0,2.0,2.8,29.2,26.1,0.5141239000000001,0.15,0.9000001000000001,18.6,12.6,16.1,4.9,8.0
2025020991,,1,New Jersey Devils,2.6,2.2,34.2,28.2,0.5573682,0.1,0.8666668000000002,17.8,11.4,16.4,5.6,7.8,2.1,2.7,31.0,26.9,0.5121239,0.1,0.8666668,18.3,12.1,16.1,5.3,6.3
2025021005,,1,New Jersey Devils,3.6,2.4,35.6,26.2,0.5402832,0.3,0.8666668000000002,14.8,11.2,15.6,5.2,7.6,2.4,2.6,31.6,26.3,0.5093685,0.15,0.8666668,17.8,12.2,16.3,5.0,6.9
2025021032,,1,New Jersey Devils,3.4,2.2,35.8,24.8,0.5274260000000001,0.3,0.8933334,13.4,10.2,14.4,5.4,8.4,2.1,2.7,31.2,26.4,0.5129399,0.15,0.8466668,17.0,10.9,15.9,4.8,7.5
2025021050,,1,New Jersey Devils,3.6,3.0,35.6,25.4,0.5383352,0.3333332,0.86666675,13.8,9.4,13.8,4.6,7.2,2.4,2.8,31.7,25.9,0.5125871,0.21666660000000001,0.9037037777777778,16.2,10.8,15.7,4.7,6.7
2025021064,,1,New Jersey Devils,3.8,3.6,34.6,27.4,0.5149642,0.4666664,0.70000025,13.6,10.2,14.6,4.2,6.4,3.0,2.9,32.1,26.5,0.5208192,0.2833332,0.8296297777777778,16.0,11.1,16.1,4.7,6.7
2025021077,,1,New Jersey Devils,4.0,3.6,32.0,26.4,0.5147388,0.4666664,0.7833335,15.6,9.8,15.2,4.0,9.2,3.3,2.9,33.1,27.3,0.5360535,0.2833332,0.8296297777777778,16.7,10.6,15.8,4.8,8.5
2025021095,,1,New Jersey Devils,4.0,3.6,32.8,26.0,0.5260035999999999,0.3666664,0.7833335,16.6,9.6,16.0,4.8,8.0,3.8,3.0,34.2,26.1,0.5331433999999999,0.3333332,0.8296297777777778,15.7,10.4,15.8,5.0,7.8
2025021130,,1,New Jersey Devils,4.2,3.4,32.8,25.6,0.515157,0.3666664,0.8333335,16.4,11.2,17.0,5.0,6.4,3.8,2.8,34.3,25.2,0.5212915,0.3333332,0.8666667777777778,14.9,10.7,15.7,5.2,7.4
2025021144,,1,New Jersey Devils,4.6,3.2,31.4,25.2,0.5024298,0.2333332,0.8166667999999999,16.6,14.0,16.4,5.0,8.0,4.1,3.1,33.5,25.3,0.5203825,0.2833332,0.838889,15.2,11.7,15.1,4.8,7.6
2025021157,,1,New Jersey Devils,4.2,2.8,31.8,22.4,0.5240926,0.1666666,0.95,17.6,14.6,15.8,5.2,7.2,4.0,3.2,33.2,24.9,0.5195283999999999,0.3166665,0.838889,15.6,12.4,15.2,4.7,6.8
2025021171,,1,New Jersey Devils,3.8,3.2,28.8,24.8,0.528318,0.1666666,0.75,18.8,15.8,15.4,4.8,3.6,3.9,3.4,30.4,25.6,0.5215284,0.3166665,0.7648148888888888,17.2,12.8,15.3,4.4,6.4
2025021182,,1,New Jersey Devils,3.6,3.2,29.0,27.4,0.5474204,0.1666666,0.6833334,20.6,16.4,16.6,4.8,4.0,3.8,3.4,30.9,26.7,0.536712,0.26666650000000003,0.7277778888888888,18.6,13.0,16.3,4.8,6.0
2025021194,,1,New Jersey Devils,3.6,3.6,27.4,26.4,0.5548278,0.2333332,0.6166668,20.8,15.6,17.4,5.0,6.2,3.9,3.5,30.1,26.0,0.5349923999999999,0.2999998,0.7129631111111111,18.6,13.4,17.2,5.0,6.3
2025021212,,1,New Jersey Devils,3.8,3.4,28.4,27.4,0.5600908,0.3333332,0.6000002,20.2,14.8,19.6,4.8,8.2,4.2,3.3,29.9,26.3,0.5312603,0.28333319999999995,0.7083335,18.4,14.4,18.0,4.9,8.1
2025021226,,1,New Jersey Devils,3.6,3.6,30.0,29.8,0.5449104,0.26666660000000003,0.5600002,19.4,14.0,19.4,4.0,9.8,3.9,3.2,30.9,26.1,0.5345015,0.21666660000000001,0.7550001,18.5,14.3,17.6,4.6,8.5
2025021236,,1,New Jersey Devils,3.8,2.6,30.2,26.6,0.5564488,0.26666660000000003,0.7600002,18.2,14.8,19.8,4.6,18.4,3.8,2.9,29.5,25.7,0.5423834000000001,0.21666660000000001,0.7550001,18.5,15.3,17.6,4.7,11.0
2025021251,,1,New Jersey Devils,3.0,3.0,27.0,24.4,0.5208654000000001,0.1666666,0.7266668000000001,17.0,12.6,18.8,4.8,18.0,3.3,3.1,28.0,25.9,0.5341429000000001,0.1666666,0.7050001,18.8,14.5,17.7,4.8,11.0
2025021265,,1,New Jersey Devils,3.2,3.2,26.6,25.8,0.5065234000000001,0.1,0.7933334000000001,15.6,14.2,18.4,4.6,15.8,3.4,3.4,27.0,26.1,0.5306756,0.1666666,0.7050001,18.2,14.9,17.9,4.8,11.0
2025021279,,1,New Jersey Devils,2.8,3.2,27.2,25.0,0.4842792,0.0,0.86,15.8,12.8,16.0,4.4,12.6,3.3,3.3,27.8,26.2,0.522185,0.1851851111111111,0.7300001,18.0,13.8,17.8,4.6,10.4
2025021292,,1,New Jersey Devils,3.0,3.2,25.6,25.2,0.4526612,0.0625,0.85,14.8,11.6,17.6,4.6,12.2,3.3,3.4,27.8,27.5,0.4987858,0.1759258888888889,0.7050001,17.1,12.8,18.5,4.3,11.0
2025020013,,2,New York Islanders,,,,,,,,,,,,,,,,,,,,,,,,
2025020028,,2,New York Islanders,3.0,4.0,37.0,28.0,0.582089,0.0,0.6,22.0,13.0,16.0,4.0,25.0,3.0,4.0,37.0,28.0,0.582089,0.0,0.6,22.0,13.0,16.0,4.0,25.0
2025020042,,2,New York Islanders,2.5,4.0,36.5,28.5,0.5533395,0.333333,0.8,27.5,17.5,17.5,3.5,14.5,2.5,4.0,36.5,28.5,0.5533395,0.333333,0.8,27.5,17.5,17.5,3.5,14.5
2025020065,,2,New York Islanders,2.3333333333333335,4.333333333333333,36.0,27.666666666666668,0.5126836666666666,0.222222,0.7555556666666666,23.0,16.0,15.666666666666666,3.3333333333333335,11.666666666666666,2.3333333333333335,4.333333333333333,36.0,27.666666666666668,0.5126836666666666,0.222222,0.7555556666666666,23.0,16.0,15.666666666666666,3.3333333333333335,11.666666666666666
